rank,model,variant,folds,threshold_mean,threshold_std,recall_mean,recall_std,f2_mean,f2_std,auc_mean,auc_std
1,logreg,baseline_lockbox,10,0.512,0.1046475566418591,0.6429802955665025,0.1445533396968201,0.3967931973661481,0.0384481502682181,0.7561438475680646,0.038670979958535
2,logreg,external_prior_lockbox,10,0.486,0.1224018881481091,0.6667487684729064,0.1431496260353517,0.3874890678940158,0.0382834952169338,0.7554916475992275,0.0351320260535019
3,random_forest,baseline_lockbox,10,0.29,0.0518544972870134,0.6286945812807881,0.1032513862512785,0.385689945440411,0.0455255009313706,0.7517687260670385,0.0423641731797402
4,xgboost,external_prior_lockbox,10,0.4429999999999999,0.1106596383310354,0.596551724137931,0.1415919381200145,0.3649789185565198,0.0511221504868521,0.7400836694435406,0.042042530660885
5,xgboost,baseline_lockbox,10,0.469,0.1344494948546355,0.5798029556650246,0.1458558864751322,0.3642664133275124,0.048606334357599,0.7390068677861279,0.0402300742810815
6,random_forest,external_prior_lockbox,10,0.283,0.0948741856940607,0.618103448275862,0.1616576538127599,0.3579390762698865,0.0396639260439286,0.749146926130007,0.0391183585436755
