model,variant,split,seed,threshold,hazardous_precision,hazardous_recall,hazardous_f1,hazardous_f2,roc_auc,accuracy,tn,fp,fn,tp,hyperparams_json
logreg,class_weight_balanced,test,42,0.55,0.2142857142857142,0.5769230769230769,0.3125,0.4310344827586206,0.7374628134296642,0.8298969072164949,307,55,11,15,"{""class_weight"": ""balanced"", ""max_iter"": 1000, ""solver"": ""lbfgs""}"
random_forest,tuned,test,42,0.5,0.3548387096774194,0.4230769230769231,0.3859649122807017,0.4074074074074074,0.7626434339141521,0.9097938144329896,342,20,15,11,"{""classifier__n_estimators"": 200, ""classifier__min_samples_split"": 10, ""classifier__min_samples_leaf"": 4, ""classifier__max_features"": ""sqrt"", ""classifier__max_depth"": 8, ""classifier__class_weight"": ""balanced""}"
svm,tuned,test,42,0.11,0.2054794520547945,0.5769230769230769,0.303030303030303,0.423728813559322,0.7128134296642583,0.8221649484536082,304,58,11,15,"{""classifier__gamma"": 0.01, ""classifier__C"": 0.1}"
xgboost,tuned,test,42,0.32,0.11920529801324503,0.6923076923076923,0.2033898305084746,0.35294117647058826,0.7778899277518063,0.6365979381443299,229,133,8,18,"{""classifier__subsample"": 1.0, ""classifier__n_estimators"": 100, ""classifier__min_child_weight"": 5, ""classifier__max_depth"": 3, ""classifier__learning_rate"": 0.05, ""classifier__colsample_bytree"": 1.0}"
